Datum,Ort (ausschließlich Dresden),Thema,Teilnehmer,sheet_name
2023-02-20,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300,2023
2023-02-20,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800,2023
2023-02-20,"Augustusplatz, Gewandhausseite, Mendebrunnen  - Roßplatz - Martin-Luther-Ring - Dittrichring  - Goerdelerring  - Tröndlinring - Willy-Brandt-Platz - Goethestraße -Augustusplatz, Gewandhausseite, Mendebrunnen ","„LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",500,2023
2023-02-20,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200,2023
2023-02-20,"Augustusplatz, Opernseite, Demokratieglocke",Ihre Krise #NichtaufunseremRücken,25,2023
2023-02-20,kleiner Willy-Brandt-Platz,"""Tag des Widerstands - für eine lebenswerte Zukunft international! Aktiv gegen die Weltkriegsgefahr - wir zahlen nicht für eure Kriege!""",10,2023
2023-02-25,"Augustusplatz, Gewandhausseite- Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt  - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Gewandhausseite ",Für Frieden und eine freie Impfentscheidung für Alle,100,2023
2023-02-26,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50,2023
2023-02-26,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100,2023
2023-02-27,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300,2023
2023-02-27,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800,2023
2023-02-27,"Augustusplatz, Gewandhausseite, Mendebrunnen  - Roßplatz - Martin-Luther-Ring - Dittrichring  - Goerdelerring  - Tröndlinring - Willy-Brandt-Platz - Goethestraße -Augustusplatz, Gewandhausseite, Mendebrunnen ","„LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",500,2023
2023-02-27,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200,2023
2023-02-19,Schützenplatz inkl. Grünfläche,Kein Platz für Nazis!,30,2023
2023-02-19,S-Bahnhof Freiberger Str/Kreuzung Ammonstraße ,Dresden — kein Ort für Nazis!,1000,2023
2023-02-19,Reichenbachstr. Ecke Fritz Löffler Str.,Dresden kein Ort für Nazis ,1000,2023
2023-02-19,Theaterplatz - Sophienstr. - Wilsdruffer Str. - Seestr. - Schulgasse - Rathausplatz (Zwischenkundgebung) - Kreuzstr. - Pirnaischer Platz - Landhausstr. - Schießgasse - Tschirnerplatz - Brühlscher Garten,Wie Nazis die Kunst missbrauchten und die Kunst ihre Unschuld verlor,500,2023
2023-02-19,Halfepipe an der Lingnerallee,Dresden — kein Ort für Nazis!,1000,2023
2023-02-20,Bibliothek Bühlau - Bautzener Landstr./Ecke Plattleite  und zurück,Bühlau geht spazieren,50,2023
2023-02-23,Fritz-Löffler-Straße Ecke Bayrische Straße,"Stoppt den fossilen Wahnsinn! Mit der Aktion fordern wir von der Politik und
Verwaltung, dass Erneuerbarer Strom und Energiesparen vorangetrieben werden,
sodass wir geordnet aus allen fossilen Energieträgern aussteigen können.",30,2023
2023-02-24,Fetscherplatz - Strasburger Platz - Pirnaischer Platz - Neumarkt ,Solidarisch. Komme was wolle.,150,2023
2023-02-24,"Prager Straße/Ausgang Waisenhausstraße Höhe ""Karstadt""",Zum Jahrestag des Kriegs in der Ukraine: Aktiver Widerstand gegen Ukrainekrieg - Weltkriegsvorbereitung und für ein Verbot aller ABC Waffen! Arbeiter schoeßen nicht auf Arbeiter!,30,2023
2023-02-24,"Bischofsweg, Alaunstr., Albertplatz, Hauptstr., Neustädter Markt, Augustusbrücke, Soohienstr., Theaterplatz",Smash Fascism - Everyday & Everywhere,1610,2023
2023-02-24,Ecke Chiaveriegasse / Sophienstraße gegenüber des Theaterplatzes ,Freie Sachsen unterstützen den Protest von Pegida,50,2023
2023-02-24,Neumarkt - Kleine Kirchgasse – Wilsdruffer Straße (nördlicher Gehweg) - Landhaustraße (südlicher Gehweg) - Querung Fahrbahn Landhaustraße - Schießgasse (östli-cher Gehweg) - Querung Fahrbahn Tzschirnerplatz - Salzgasse (nördlicher Gehweg) - Georg-Treu-Platz (nördlicher Gehweg) - An der Frauenkirche (nördlicher Gehweg) - Neumarkt,Lichterkette: „Solidarität mit der Ukraine“,3000,2023
2023-02-24,Theaterplatz - Sophienstraße - Schloßplatz - Schloßstraße - Wilsdruffer Straße - Postplatz,Großer Dresdener Friedensspaziergang - Frieden schaffen ohne Waffen  ,3000+,2023
2023-02-24,Jorge-Gomondai-Platz - Hauptstraße - Agustusbrücke - Schloßplatz - Augustusstraße - Neumarkt,Gegen den Krieg in der Ukraine,250,2023
2023-02-27,Robotronplatz - Pillnitzer Str. . Tzschirnerplatz - Frauenkirche -Schlossplatz - Postplatz - Wilsdruffer Str.- Robotron Platz ,"Bürgerprotest gegen Kriegsbeteiligung, für bezahlbare Energie und transparente Politik ",100,2023
2023-02-27,Prager Straße/Karstadt/H&M,"Tag des Widerstands, gegen Hartz IV, Rassismus, Nationalismus und Faschismus. Aktiver Widerstand gegen jede imperialistische Aggression. Stopp den Krieg in der Ukraine. Kampf der Weltkriegsgefahr!",20,2023
2023-02-27,Bibliothek Bühlau - Bautzener Landstr./Ecke Plattleite  und zurück,Bühlau geht spazieren,50,2023
2023-02-27,"Lingnerallee - Lennéstraße - Straßburger Platz - Grunaer Straße - Pirnaischer Platz - St. Petersburger Straße - Dr.-Külz-Ring
Freifläche des Dr.-Külz-Rings/Ecke Seestraße
- Dr.-Külz-Ring (entgegen der Fahrtrichtung) - Schulgasse - Kreuzkirche - Kreuzstraße - St. Petersburger Straße - Pirnaischer Platz - Grunaer Straße - Straßburger Platz - Lennéstraße Parkplatz Lingnerallee","Montagsdemonstration -Dresden vereint - das Original - Frieden, Freiheit und Tradition",750,2023
2023-02-27,Schloßstraße 22 Gehweg gegenüber Eingang Haus der Kathedrale,Aufarbeitung mit Kirche UND Staat vor dem Haus der Kathedrale zur Frühjahrs-Vollversammlung der Deutschen Bischofskonferenz 2023 in Dresden,10,2023
2023-02-27,Schlossstraße,Aufarbeitung mit Kirche UND Staat vor dem Haus der Kathedrale zur Frühjahrs-Vollversammlung der Deutschen Bischofskonferenz 2023 in Dresden,,2023
2023-02-27,,Für eine Kirche füe alle,,2023
2023-02-28,"Gehwegbereich, Hans-Oster-Straße in Höhe des nördlichen Besuchereingangs zum Arbeitsgericht",Gegen Arbeitsrechtsverstöße gemeinsam wehren!,10,2023
2023-02-28,Schlossstraße,Aufarbeitung mit Kirche UND Staat vor dem Haus der Kathedrale zur Frühjahrs-Vollversammlung der Deutschen Bischofskonferenz 2023 in Dresden,,2023
